policy,exposure,num_claims,amt_claims,f_primary_age_tier,f_primary_gender,f_marital,f_residence_location,f_fire_alarm_type,f_mile_fire_station,f_aoi_tier
P16122,1,2,"4,895.82",21 - 27,Female,Married,Rural,None,6 - 10 miles,100K - 350K
Z16123,1,2,"1,244.05",38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z16124,1,3,"5,305.41",38 - 60,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
A16125,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,1 - 5 miles,601K - 1M
A16126,1,0,0.00,38 - 60,Male,Married,Suburban,None,< 1 mile,601K - 1M
Z16127,1,1,"3,280.61",28 - 37,Female,Married,Suburban,None,< 1 mile,601K - 1M
P16128,1,0,0.00,21 - 27,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
Z16129,0.99,0,0.00,38 - 60,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P16130,0.79,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,6 - 10 miles,351K - 600K
Z16131,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z16132,1,2,"5,939.10",28 - 37,Male,Married,Rural,Standalone,6 - 10 miles,> 1M
G16133,1,2,"2,898.46",28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
A16134,0.6,0,0.00,38 - 60,Male,Not Married,Urban,Standalone,1 - 5 miles,351K - 600K
G16135,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,6 - 10 miles,351K - 600K
A16136,1,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16137,1,0,0.00,> 60,Male,Not Married,Suburban,None,< 1 mile,601K - 1M
G16138,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,6 - 10 miles,351K - 600K
Z16139,0.91,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
G16140,1,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,601K - 1M
G16141,1,2,"3,016.19",< 21,Female,Not Married,Rural,None,> 10 miles,100K - 350K
Z16142,1,0,0.00,< 21,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
P16143,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
A16144,1,1,"3,115.85",28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,< 100K
Z16145,1,0,0.00,21 - 27,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16146,1,1,"1,229.39",28 - 37,Female,Married,Urban,None,< 1 mile,100K - 350K
Z16147,1,0,0.00,38 - 60,Female,Not Married,Urban,None,< 1 mile,100K - 350K
P16148,1,0,0.00,38 - 60,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
P16149,1,2,"1,432.38",28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
A16150,1,1,"2,148.56",28 - 37,Male,Not Married,Urban,Standalone,1 - 5 miles,> 1M
G16151,0.18,1,"1,688.12",21 - 27,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
P16152,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
A16153,0.5,0,0.00,28 - 37,Male,Married,Urban,None,< 1 mile,601K - 1M
G16154,1,1,"2,044.83",38 - 60,Female,Married,Rural,Standalone,> 10 miles,351K - 600K
P16155,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,100K - 350K
P16156,0.73,1,"1,929.14",> 60,Male,Married,Urban,Standalone,1 - 5 miles,< 100K
Z16157,1,0,0.00,> 60,Female,Married,Urban,Standalone,< 1 mile,< 100K
G16158,1,1,"1,646.30",38 - 60,Male,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
A16159,1,0,0.00,38 - 60,Male,Un-Married,Rural,Standalone,> 10 miles,601K - 1M
G16160,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z16161,0.23,2,"4,331.74",< 21,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
A16162,1,2,"2,239.84",< 21,Female,Un-Married,Urban,Standalone,1 - 5 miles,< 100K
A16163,1,1,"3,109.75",21 - 27,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
A16164,1,0,0.00,21 - 27,Female,Not Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z16165,0.16,1,206.78,28 - 37,Female,Un-Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z16166,0.91,0,0.00,> 60,Female,Married,Rural,None,> 10 miles,100K - 350K
A16167,1,0,0.00,38 - 60,Male,Married,Urban,None,< 1 mile,351K - 600K
P16168,0.84,0,0.00,28 - 37,Male,Not Married,Rural,Alarm Service,> 10 miles,< 100K
P16169,1,2,"2,806.45",> 60,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
G16170,1,0,0.00,21 - 27,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
P16171,1,1,"1,831.38",> 60,Female,Not Married,Rural,Standalone,> 10 miles,351K - 600K
A16172,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z16173,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
P16174,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G16175,1,2,"2,878.68",28 - 37,Male,Married,Urban,None,< 1 mile,601K - 1M
A16176,1,0,0.00,> 60,Female,Married,Suburban,None,< 1 mile,> 1M
P16177,1,0,0.00,28 - 37,Female,Not Married,Urban,None,< 1 mile,351K - 600K
A16178,1,1,439.50,38 - 60,Female,Married,Rural,Alarm Service,> 10 miles,< 100K
Z16179,1,0,0.00,21 - 27,Female,Not Married,Rural,None,1 - 5 miles,351K - 600K
Z16180,1,1,839.77,21 - 27,Female,Not Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
A16181,1,2,"3,296.64",21 - 27,Male,Not Married,Urban,Alarm Service,< 1 mile,601K - 1M
Z16182,0.09,0,0.00,21 - 27,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
G16183,1,2,"3,282.13",28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z16184,1,0,0.00,21 - 27,Male,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
Z16185,1,1,"1,179.50",38 - 60,Male,Un-Married,Urban,None,< 1 mile,601K - 1M
P16186,1,1,410.22,38 - 60,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
A16187,1,2,"1,888.43",28 - 37,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
G16188,1,1,761.34,28 - 37,Male,Not Married,Suburban,Standalone,1 - 5 miles,100K - 350K
P16189,1,2,"1,830.81",28 - 37,Male,Married,Rural,None,1 - 5 miles,601K - 1M
G16190,1,1,"1,386.55",< 21,Female,Married,Urban,None,< 1 mile,601K - 1M
Z16191,0.13,0,0.00,28 - 37,Female,Married,Suburban,None,1 - 5 miles,100K - 350K
Z16192,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A16193,1,0,0.00,28 - 37,Female,Married,Suburban,None,< 1 mile,601K - 1M
A16194,1,0,0.00,< 21,Female,Married,Suburban,Standalone,1 - 5 miles,< 100K
A16195,1,0,0.00,28 - 37,Female,Married,Suburban,None,< 1 mile,351K - 600K
G16196,1,1,"2,180.67",28 - 37,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
P16197,1,1,"2,755.33",21 - 27,Male,Un-Married,Suburban,Standalone,1 - 5 miles,< 100K
P16198,0.05,0,0.00,28 - 37,Female,Un-Married,Urban,Alarm Service,< 1 mile,< 100K
P16199,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G16200,0.76,0,0.00,28 - 37,Female,Married,Urban,Standalone,1 - 5 miles,100K - 350K
A16201,1,1,"1,198.41",21 - 27,Male,Married,Suburban,Standalone,< 1 mile,< 100K
P16202,1,0,0.00,< 21,Male,Married,Urban,Alarm Service,1 - 5 miles,601K - 1M
G16203,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G16204,1,3,"3,605.23",21 - 27,Female,Not Married,Suburban,Alarm Service,< 1 mile,601K - 1M
P16205,1,0,0.00,38 - 60,Female,Un-Married,Rural,Alarm Service,6 - 10 miles,351K - 600K
Z16206,0.55,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
A16207,1,0,0.00,38 - 60,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
Z16208,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
P16209,1,1,539.29,38 - 60,Male,Not Married,Urban,Alarm Service,< 1 mile,100K - 350K
G16210,1,1,813.25,> 60,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
A16211,0.04,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,351K - 600K
P16212,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Standalone,< 1 mile,< 100K
G16213,0.33,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,< 100K
Z16214,0.49,0,0.00,28 - 37,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
G16215,1,0,0.00,> 60,Male,Not Married,Urban,Standalone,1 - 5 miles,> 1M
Z16216,1,1,198.95,21 - 27,Male,Not Married,Urban,None,1 - 5 miles,100K - 350K
A16217,1,0,0.00,< 21,Male,Not Married,Suburban,Alarm Service,< 1 mile,100K - 350K
P16218,0.9,1,"3,511.78",38 - 60,Male,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A16219,1,0,0.00,< 21,Male,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
P16220,1,1,"1,822.57",28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,100K - 350K
A16221,1,1,471.20,28 - 37,Female,Married,Rural,Standalone,1 - 5 miles,100K - 350K
G16222,1,1,476.44,28 - 37,Male,Married,Rural,None,6 - 10 miles,100K - 350K
Z16223,1,1,457.30,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
A16224,1,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z16225,1,3,"2,356.99",38 - 60,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P16226,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,1 - 5 miles,< 100K
G16227,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A16228,1,1,287.31,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
Z16229,1,3,"2,471.57",> 60,Female,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z16230,0.13,3,"3,581.38",21 - 27,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
Z16231,0.69,0,0.00,< 21,Female,Married,Urban,None,1 - 5 miles,351K - 600K
A16232,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,1 - 5 miles,< 100K
A16233,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
G16234,1,0,0.00,< 21,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
P16235,1,0,0.00,21 - 27,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16236,1,1,"1,039.10",28 - 37,Male,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
A16237,1,0,0.00,38 - 60,Male,Un-Married,Urban,None,< 1 mile,601K - 1M
Z16238,1,2,"1,933.93",< 21,Male,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
P16239,1,2,"5,577.05",21 - 27,Female,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
A16240,1,0,0.00,28 - 37,Male,Un-Married,Urban,Alarm Service,1 - 5 miles,< 100K
Z16241,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,100K - 350K
Z16242,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,< 1 mile,100K - 350K
Z16243,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,351K - 600K
Z16244,1,2,"4,387.51",28 - 37,Male,Married,Urban,None,< 1 mile,601K - 1M
Z16245,0.96,0,0.00,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,< 100K
P16246,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
Z16247,0.26,0,0.00,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,< 100K
P16248,1,0,0.00,28 - 37,Female,Un-Married,Urban,None,< 1 mile,601K - 1M
P16249,0.55,0,0.00,> 60,Male,Un-Married,Suburban,Alarm Service,< 1 mile,< 100K
P16250,1,1,392.30,21 - 27,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P16251,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,351K - 600K
Z16252,1,1,"1,096.58",21 - 27,Male,Not Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
Z16253,1,1,734.06,28 - 37,Male,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
P16254,1,1,687.30,38 - 60,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
A16255,1,0,0.00,28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P16256,1,0,0.00,28 - 37,Male,Married,Suburban,Alarm Service,< 1 mile,> 1M
G16257,1,0,0.00,< 21,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z16258,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,< 1 mile,601K - 1M
A16259,1,1,516.11,38 - 60,Female,Un-Married,Rural,Standalone,> 10 miles,351K - 600K
G16260,1,0,0.00,28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,> 1M
P16261,0.48,1,"1,247.93",28 - 37,Male,Married,Urban,None,< 1 mile,351K - 600K
Z16262,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G16263,1,0,0.00,28 - 37,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
Z16264,0.76,0,0.00,< 21,Male,Un-Married,Suburban,Alarm Service,< 1 mile,100K - 350K
A16265,1,0,0.00,38 - 60,Male,Married,Suburban,None,< 1 mile,100K - 350K
P16266,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
G16267,1,0,0.00,< 21,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
Z16268,1,1,514.07,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z16269,1,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z16270,0.2,2,"5,801.39",> 60,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16271,1,2,"5,213.90",28 - 37,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
Z16272,1,1,"2,248.74",21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P16273,1,0,0.00,28 - 37,Female,Un-Married,Suburban,None,< 1 mile,100K - 350K
A16274,1,1,"1,384.45",28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,100K - 350K
G16275,1,1,"2,601.07",38 - 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
Z16276,1,1,"1,565.10",21 - 27,Male,Un-Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
A16277,1,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
G16278,1,0,0.00,38 - 60,Male,Married,Suburban,None,< 1 mile,351K - 600K
G16279,0.56,1,"1,935.05",21 - 27,Female,Un-Married,Suburban,Alarm Service,6 - 10 miles,351K - 600K
P16280,1,0,0.00,28 - 37,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
Z16281,0.06,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
G16282,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,100K - 350K
G16283,1,0,0.00,21 - 27,Male,Married,Rural,Standalone,1 - 5 miles,351K - 600K
Z16284,1,1,378.88,> 60,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
P16285,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
Z16286,1,1,"1,387.07",38 - 60,Female,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
G16287,1,2,792.43,21 - 27,Male,Un-Married,Urban,Alarm Service,< 1 mile,> 1M
A16288,1,1,"1,042.95",28 - 37,Female,Married,Urban,None,< 1 mile,351K - 600K
G16289,1,0,0.00,38 - 60,Male,Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z16290,0.6,1,665.58,28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
Z16291,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,601K - 1M
G16292,0.28,0,0.00,21 - 27,Female,Married,Suburban,None,1 - 5 miles,601K - 1M
Z16293,0.42,1,"1,357.84",28 - 37,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
Z16294,1,0,0.00,21 - 27,Male,Un-Married,Urban,None,1 - 5 miles,< 100K
A16295,1,1,"1,273.16",28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,100K - 350K
P16296,1,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,< 1 mile,< 100K
Z16297,1,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
G16298,1,1,429.99,< 21,Female,Not Married,Urban,Standalone,< 1 mile,351K - 600K
Z16299,1,1,88.43,28 - 37,Female,Not Married,Suburban,None,< 1 mile,< 100K
P16300,0.02,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
P16301,0.07,0,0.00,21 - 27,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
Z16302,1,1,"1,437.20",28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
A16303,0.4,1,"1,420.32",28 - 37,Male,Un-Married,Rural,Standalone,6 - 10 miles,601K - 1M
Z16304,1,0,0.00,28 - 37,Female,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z16305,1,1,"1,854.48",38 - 60,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
A16306,0.43,3,"5,167.29",21 - 27,Female,Not Married,Suburban,Standalone,< 1 mile,100K - 350K
G16307,1,1,"2,718.63",28 - 37,Male,Not Married,Suburban,Alarm Service,< 1 mile,> 1M
P16308,1,0,0.00,38 - 60,Male,Un-Married,Urban,None,< 1 mile,351K - 600K
Z16309,1,2,"8,386.68",21 - 27,Male,Not Married,Rural,Alarm Service,> 10 miles,351K - 600K
G16310,1,1,"3,750.01",28 - 37,Male,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
A16311,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z16312,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,< 100K
A16313,1,1,674.59,38 - 60,Male,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A16314,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Alarm Service,< 1 mile,100K - 350K
P16315,1,1,"1,827.09",< 21,Male,Un-Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
Z16316,1,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
G16317,0.94,1,535.00,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A16318,1,1,"1,115.74",28 - 37,Male,Un-Married,Rural,None,< 1 mile,< 100K
A16319,1,1,147.36,28 - 37,Female,Not Married,Rural,Standalone,6 - 10 miles,100K - 350K
Z16320,1,1,"2,102.36",38 - 60,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
Z16321,1,1,"2,343.41",> 60,Female,Un-Married,Urban,Standalone,1 - 5 miles,> 1M
P16322,1,2,"2,590.65",38 - 60,Male,Un-Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z16323,1,0,0.00,28 - 37,Female,Married,Rural,Alarm Service,> 10 miles,601K - 1M
P16324,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,1 - 5 miles,601K - 1M
P16325,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
P16326,0.45,2,"1,138.96",38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z16327,0.4,0,0.00,38 - 60,Male,Un-Married,Suburban,Alarm Service,6 - 10 miles,601K - 1M
A16328,1,1,"2,866.53",28 - 37,Female,Married,Urban,Alarm Service,< 1 mile,351K - 600K
A16329,1,1,"3,081.56",21 - 27,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
G16330,1,1,"1,756.04",21 - 27,Male,Not Married,Urban,Standalone,1 - 5 miles,351K - 600K
G16331,1,0,0.00,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
A16332,1,0,0.00,28 - 37,Female,Married,Urban,None,< 1 mile,351K - 600K
A16333,1,0,0.00,38 - 60,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16334,1,0,0.00,38 - 60,Female,Un-Married,Urban,Alarm Service,< 1 mile,601K - 1M
P16335,0.55,1,"5,420.61",< 21,Female,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G16336,1,0,0.00,21 - 27,Male,Married,Suburban,None,1 - 5 miles,100K - 350K
G16337,0.61,0,0.00,21 - 27,Female,Un-Married,Rural,Standalone,1 - 5 miles,601K - 1M
P16338,0.94,0,0.00,38 - 60,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
A16339,1,1,960.97,28 - 37,Female,Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
G16340,1,1,893.17,28 - 37,Female,Married,Urban,Alarm Service,1 - 5 miles,< 100K
Z16341,1,1,"3,059.45",21 - 27,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
G16342,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
G16343,0.33,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
P16344,0.82,0,0.00,38 - 60,Male,Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
P16345,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z16346,1,0,0.00,38 - 60,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
A16347,0.7,2,"1,462.08",38 - 60,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
G16348,1,0,0.00,> 60,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P16349,1,1,"1,472.88",21 - 27,Female,Married,Urban,Standalone,< 1 mile,< 100K
A16350,1,0,0.00,< 21,Female,Married,Suburban,Alarm Service,1 - 5 miles,< 100K
P16351,1,1,576.79,< 21,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
P16352,1,2,"5,811.05",28 - 37,Male,Married,Rural,Standalone,> 10 miles,351K - 600K
P16353,1,0,0.00,< 21,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
P16354,1,1,"2,893.38",28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
A16355,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,601K - 1M
G16356,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G16357,1,1,"4,006.71",28 - 37,Female,Married,Urban,None,< 1 mile,100K - 350K
P16358,0.74,2,646.48,38 - 60,Male,Not Married,Suburban,None,< 1 mile,351K - 600K
P16359,1,0,0.00,38 - 60,Female,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
G16360,0.24,0,0.00,38 - 60,Male,Un-Married,Suburban,None,< 1 mile,351K - 600K
G16361,1,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P16362,1,1,818.38,38 - 60,Male,Un-Married,Suburban,None,< 1 mile,601K - 1M
A16363,1,0,0.00,21 - 27,Female,Married,Suburban,Standalone,< 1 mile,601K - 1M
P16364,0.02,1,"2,190.23",38 - 60,Male,Married,Urban,Alarm Service,6 - 10 miles,> 1M
P16365,1,1,872.44,38 - 60,Male,Not Married,Suburban,None,< 1 mile,100K - 350K
P16366,1,0,0.00,< 21,Female,Not Married,Rural,Standalone,> 10 miles,351K - 600K
A16367,1,1,"1,601.30",< 21,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
G16368,1,1,"1,087.78",< 21,Male,Not Married,Urban,Standalone,< 1 mile,351K - 600K
Z16369,0.29,0,0.00,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
A16370,1,1,"1,065.49",21 - 27,Female,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
Z16371,0.91,1,294.13,< 21,Male,Un-Married,Suburban,None,< 1 mile,351K - 600K
Z16372,1,1,791.76,38 - 60,Male,Married,Suburban,Standalone,1 - 5 miles,< 100K
P16373,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P16374,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
G16375,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
Z16376,1,2,"3,947.07",21 - 27,Female,Un-Married,Suburban,Standalone,1 - 5 miles,601K - 1M
G16377,0.26,0,0.00,38 - 60,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
G16378,0.97,2,214.08,21 - 27,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
P16379,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G16380,1,2,"2,486.27",21 - 27,Male,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
Z16381,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P16382,0.03,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z16383,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,351K - 600K
P16384,1,1,"1,047.51",38 - 60,Male,Not Married,Suburban,Standalone,< 1 mile,> 1M
Z16385,0.33,1,"1,457.61",21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
Z16386,1,1,617.80,28 - 37,Female,Not Married,Urban,None,< 1 mile,351K - 600K
P16387,1,0,0.00,21 - 27,Female,Not Married,Urban,Standalone,1 - 5 miles,100K - 350K
G16388,1,0,0.00,38 - 60,Female,Married,Urban,None,1 - 5 miles,351K - 600K
Z16389,1,0,0.00,21 - 27,Male,Not Married,Rural,Standalone,6 - 10 miles,351K - 600K
Z16390,1,0,0.00,28 - 37,Male,Not Married,Suburban,Alarm Service,< 1 mile,< 100K
P16391,1,0,0.00,28 - 37,Female,Married,Urban,None,< 1 mile,601K - 1M
P16392,0.42,1,"3,124.13",> 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P16393,1,0,0.00,21 - 27,Female,Un-Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z16394,1,0,0.00,21 - 27,Male,Un-Married,Rural,Alarm Service,6 - 10 miles,351K - 600K
A16395,1,1,"1,927.84",38 - 60,Male,Not Married,Urban,None,< 1 mile,601K - 1M
P16396,1,1,499.09,21 - 27,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
G16397,1,1,"1,345.25",28 - 37,Male,Un-Married,Suburban,None,< 1 mile,601K - 1M
